,Name,Type,Campus setting,Student population,Undergraduate students,Graduation Rate,Transfer-Out Rate,Net Price **
29,Benedictine College,"4-year, Private not-for-profit",Town: Distant,2158,2085,65,NA,24320
30,Benedictine University,"4-year, Private not-for-profit",Suburb: Large,4401,2493,46,1,25604
31,Bethany College,"4-year, Private not-for-profit",Town: Remote,816,816,34,65,19780
32,Bethany Global University,"4-year, Private not-for-profit",City: Small,352,323,50,NA,20224
33,Bethany Lutheran College,"4-year, Private not-for-profit",City: Small,741,741,54,34,17580
34,Bethel College-North Newton,"4-year, Private not-for-profit",Town: Distant,456,456,44,NA,21785
35,Bethel University,"4-year, Private not-for-profit",City: Small,1450,1273,67,NA,18348
36,Bethel University,"4-year, Private not-for-profit",Suburb: Large,4005,2799,73,NA,26468
37,Bethlehem College & Seminary,"4-year, Private not-for-profit",City: Large,192,126,77,15,5500
38,Bismarck State College,"4-year, primarily associate's, Public",City: Small,3739,3739,52,14,9016
39,Black Hills State University,"4-year, Public",Town: Distant,3858,3684,38,NA,15861
40,Blackburn College,"4-year, Private not-for-profit",Town: Distant,485,485,41,NA,16175
41,Blessing Rieman College of Nursing and Health Sciences,"4-year, Private not-for-profit",Town: Remote,182,165,NA,NA,NA
42,Bluffton University,"4-year, Private not-for-profit",Town: Distant,768,710,54,NA,26002
43,Bowling Green State University-Main Campus,"4-year, Public",Town: Fringe,17733,15103,61,23,17427
44,Bradley University,"4-year, Private not-for-profit",City: Midsize,5929,4636,77,NA,26791
45,Briar Cliff University,"4-year, Private not-for-profit",City: Small,1129,872,40,NA,20437
46,Bryan College of Health Sciences,"4-year, Private not-for-profit",City: Large,775,659,56,39,24691
47,Buena Vista University,"4-year, Private not-for-profit",Town: Remote,1815,1478,60,NA,18449
48,Butler University,"4-year, Private not-for-profit",City: Large,5515,4685,82,15,39923
49,Calumet College of Saint Joseph,"4-year, Private not-for-profit",Suburb: Large,718,549,44,10,11716
50,Calvary University,"4-year, Private not-for-profit",City: Large,430,348,36,3,15887
51,Calvin University,"4-year, Private not-for-profit",City: Midsize,3570,3467,76,NA,27952
52,Capital University,"4-year, Private not-for-profit",Suburb: Large,3226,2504,62,NA,21946
53,Cardinal Stritch University,"4-year, Private not-for-profit",Suburb: Large,1896,1248,50,37,18107
54,Carleton College,"4-year, Private not-for-profit",Town: Distant,2115,2115,92,NA,31547
55,Carroll University,"4-year, Private not-for-profit",City: Small,3449,2960,67,NA,23866
56,Carthage College,"4-year, Private not-for-profit",Suburb: Midsize,2742,2638,66,NA,28165
57,Case Western Reserve University,"4-year, Private not-for-profit",City: Large,11874,5383,84,NA,35890
58,Cedarville University,"4-year, Private not-for-profit",Town: Fringe,4302,3879,75,NA,23827
59,Central Christian College of Kansas,"4-year, Private not-for-profit",Town: Remote,677,677,32,NA,15215
60,Central Christian College of the Bible,"4-year, Private not-for-profit",Town: Distant,204,204,39,31,13831
61,Central College,"4-year, Private not-for-profit",Town: Distant,1173,1173,67,NA,23343
62,Central Methodist University-College of Graduate and Extended Studies,"4-year, Private not-for-profit",Town: Distant,3821,3502,NA,NA,15196
63,Central Methodist University-College of Liberal Arts and Sciences,"4-year, Private not-for-profit",Town: Distant,1145,1145,47,27,21215
64,Central Michigan University,"4-year, Public",Town: Distant,19362,14627,61,NA,15266
65,Chadron State College,"4-year, Public",Town: Remote,2407,1923,45,38,14203
66,Chicago State University,"4-year, Public",City: Large,3039,2108,17,48,9820
67,Cincinnati College of Mortuary Science,"4-year, primarily associate's, Private not-for-profit",Suburb: Large,92,92,NA,NA,NA
68,City Vision University,"4-year, Private not-for-profit",City: Large,83,70,100,NA,3452
69,Clark State Community College,"4-year, primarily associate's, Public",City: Small,5669,5669,15,19,6414
